Mental Health Disorder Group,ICD10_Code,Description
Depressive Disorders,F341,Dysthymic disorder
Depressive Disorders,F348,Other persistent mood [affective] disorders
Depressive Disorders,F3481,Disruptive mood dysregulation disorder
"Disruptive, Impulse Control and Conduct Disorders",F630,Pathological gambling
"Disruptive, Impulse Control and Conduct Disorders",F631,Pyromania
"Disruptive, Impulse Control and Conduct Disorders",F632,Kleptomania
"Disruptive, Impulse Control and Conduct Disorders",F6381,Intermittent explosive disorder
"Disruptive, Impulse Control and Conduct Disorders",F6389,Other impulse disorders
"Disruptive, Impulse Control and Conduct Disorders",F639,"Impulse disorder, unspecified"
"Disruptive, Impulse Control and Conduct Disorders",F910,Conduct disorder confined to family context
"Disruptive, Impulse Control and Conduct Disorders",F911,"Conduct disorder, childhood-onset type"
"Disruptive, Impulse Control and Conduct Disorders",F912,"Conduct disorder, adolescent-onset type"
"Disruptive, Impulse Control and Conduct Disorders",F913,Oppositional defiant disorder
"Disruptive, Impulse Control and Conduct Disorders",F918,Other conduct disorders
"Disruptive, Impulse Control and Conduct Disorders",F919,"Conduct disorder, unspecified"
Dissociative Disorders,F440,Dissociative amnesia
Dissociative Disorders,F441,Dissociative fugue
Dissociative Disorders,F442,Dissociative stupor
Dissociative Disorders,F4481,Dissociative identity disorder
Dissociative Disorders,F481,Depersonalization-derealization syndrome
Feeding and Eating Disorders,F5000,"Anorexia nervosa, unspecified"
Feeding and Eating Disorders,F5001,"Anorexia nervosa, restricting type"
Feeding and Eating Disorders,F5002,"Anorexia nervosa, binge eating/purging type"
Feeding and Eating Disorders,F502,Bulimia nervosa
Feeding and Eating Disorders,F508,Other eating disorders
Feeding and Eating Disorders,F5081,Binge eating disorder
Feeding and Eating Disorders,F5082,Avoidant/restrictive food intake disorder
Feeding and Eating Disorders,F5089,Other specified eating disorder
Feeding and Eating Disorders,F509,"Eating disorder, unspecified"
Feeding and Eating Disorders,F9821,Rumination disorder of infancy
Feeding and Eating Disorders,F9829,Other feeding disorders of infancy and early childhood
Feeding and Eating Disorders,F983,Pica of infancy and childhood
Mental Health Symptom,F59,Unspecified behavioral syndromes associated with physiological disturbances and physical factors
Mental Health Symptom,R440,Auditory hallucinations
Mental Health Symptom,R441,Visual hallucinations
Mental Health Symptom,R442,Other hallucinations
Mental Health Symptom,R443,"Hallucinations, unspecified"
Mental Health Symptom,R450,Nervousness
Mental Health Symptom,R451,Restlessness and agitation
Mental Health Symptom,R452,Unhappiness
Mental Health Symptom,R453,Demoralization and apathy
Mental Health Symptom,R454,Irritability and anger
Mental Health Symptom,R455,Hostility
Mental Health Symptom,R456,Violent behavior
Mental Health Symptom,R457,"State of emotional shock and stress, unspecified"
Mental Health Symptom,R4581,Low self-esteem
Mental Health Symptom,R4582,Worries
Mental Health Symptom,R4583,"Excessive crying of child, adolescent or adult"
Mental Health Symptom,R4584,Anhedonia
Mental Health Symptom,R45850,Homicidal ideations
Mental Health Symptom,R4586,Emotional lability
Mental Health Symptom,R4587,Impulsiveness
Mental Health Symptom,R4589,Other symptoms and signs involving emotional state
Mental Health Symptom,R460,Very low level of personal hygiene
Mental Health Symptom,R461,Bizarre personal appearance
Mental Health Symptom,R462,Strange and inexplicable behavior
Mental Health Symptom,R463,Overactivity
Mental Health Symptom,R464,Slowness and poor responsiveness
Mental Health Symptom,R465,Suspiciousness and marked evasiveness
Mental Health Symptom,R466,Undue concern and preoccupation with stressful events
Mental Health Symptom,R467,Verbosity and circumstantial detail obscuring reason for contact
Mental Health Symptom,R4681,Obsessive-compulsive behavior
Mental Health Symptom,Z72810,Child and adolescent antisocial behavior
Mental Health Symptom,Z9183,Wandering in diseases classified elsewhere
Miscellaneous,F070,Personality change due to known physiological condition
Miscellaneous,F079,Unspecified personality and behavioral disorder due to known physiological condition
Miscellaneous,F09,Unspecified mental disorder due to known physiological condition
Miscellaneous,F28,Other psychotic disorder not due to a substance or known physiological condition
Miscellaneous,F3281,Premenstrual dysphoric disorder
Miscellaneous,F3489,Other specified persistent mood disorders
Miscellaneous,F349,"Persistent mood [affective] disorder, unspecified"
Miscellaneous,F39,Unspecified mood [affective] disorder
Miscellaneous,F4489,Other dissociative and conversion disorders
Miscellaneous,F449,"Dissociative and conversion disorder, unspecified"
Miscellaneous,F488,Other specified nonpsychotic mental disorders
Miscellaneous,F489,"Nonpsychotic mental disorder, unspecified"
Miscellaneous,F54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere
Miscellaneous,F550,Abuse of antacids
Miscellaneous,F551,Abuse of herbal or folk remedies
Miscellaneous,F552,Abuse of laxatives
Miscellaneous,F553,Abuse of steroids or hormones
Miscellaneous,F554,Abuse of vitamins
Miscellaneous,F558,Abuse of other non-psychoactive substances
Miscellaneous,F688,Other specified disorders of adult personality and behavior
Miscellaneous,F69,Unspecified disorder of adult personality and behavior
Miscellaneous,F938,Other childhood emotional disorders
Miscellaneous,F939,"Childhood emotional disorder, unspecified"
Miscellaneous,F948,Other childhood disorders of social functioning
Miscellaneous,F949,"Childhood disorder of social functioning, unspecified"
Miscellaneous,F988,Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
Miscellaneous,F989,Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
Miscellaneous,F99,"Mental disorder, not otherwise specified"
Miscellaneous,R41840,Attention and concentration deficit
Miscellaneous,R41841,Cognitive communication deficit
Miscellaneous,R41842,Visuospatial deficit
Miscellaneous,R41843,Psychomotor deficit
Miscellaneous,R41844,Frontal lobe and executive function deficit
Miscellaneous,R4189,Other symptoms and signs involving cognitive functions and awareness
Miscellaneous,R419,Unspecified symptoms and signs involving cognitive functions and awareness
Obsessive-Compulsive and Related Disorders,F42,Obsessive-compulsive disorder
Obsessive-Compulsive and Related Disorders,F422,Mixed obsessional thoughts and acts
Obsessive-Compulsive and Related Disorders,F423,Hoarding disorder
Obsessive-Compulsive and Related Disorders,F424,Excoriation (skin-picking) disorder
Obsessive-Compulsive and Related Disorders,F428,Other obsessive-compulsive disorder
Obsessive-Compulsive and Related Disorders,F429,"Obsessive-compulsive disorder, unspecified"
Obsessive-Compulsive and Related Disorders,F4522,Body dysmorphic disorder
Obsessive-Compulsive and Related Disorders,F633,Trichotillomania
Personality Disorders,F21,Schizotypal disorder
Personality Disorders,F600,Paranoid personality disorder
Personality Disorders,F601,Schizoid personality disorder
Personality Disorders,F602,Antisocial personality disorder
Personality Disorders,F603,Borderline personality disorder
Personality Disorders,F604,Histrionic personality disorder
Personality Disorders,F605,Obsessive-compulsive personality disorder
Personality Disorders,F606,Avoidant personality disorder
Personality Disorders,F607,Dependent personality disorder
Personality Disorders,F6081,Narcissistic personality disorder
Personality Disorders,F6089,Other specific personality disorders
Personality Disorders,F609,"Personality disorder, unspecified"
Schizophrenia Spectrum and Other Psychotic Disorders,F060,Psychotic disorder with hallucinations due to known physiological condition
Schizophrenia Spectrum and Other Psychotic Disorders,F061,Catatonic disorder due to known physiological condition
Schizophrenia Spectrum and Other Psychotic Disorders,F200,Paranoid schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,F201,Disorganized schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,F202,Catatonic schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,F203,Undifferentiated schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,F205,Residual schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,F2081,Schizophreniform disorder
Schizophrenia Spectrum and Other Psychotic Disorders,F2089,Other schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,F209,"Schizophrenia, unspecified"
Schizophrenia Spectrum and Other Psychotic Disorders,F22,Delusional disorders
Schizophrenia Spectrum and Other Psychotic Disorders,F23,Brief psychotic disorder
Schizophrenia Spectrum and Other Psychotic Disorders,F24,Shared psychotic disorder
Schizophrenia Spectrum and Other Psychotic Disorders,F250,"Schizoaffective disorder, bipolar type"
Schizophrenia Spectrum and Other Psychotic Disorders,F251,"Schizoaffective disorder, depressive type"
Schizophrenia Spectrum and Other Psychotic Disorders,F258,Other schizoaffective disorders
Schizophrenia Spectrum and Other Psychotic Disorders,F259,"Schizoaffective disorder, unspecified"
Schizophrenia Spectrum and Other Psychotic Disorders,F29,Unspecified psychosis not due to a substance or known physiological condition
Sleep-Wake Disorders,F5101,Primary insomnia
Sleep-Wake Disorders,F5102,Adjustment insomnia
Sleep-Wake Disorders,F5103,Paradoxical insomnia
Sleep-Wake Disorders,F5104,Psychophysiologic insomnia
Sleep-Wake Disorders,F5105,Insomnia due to other mental disorder
Sleep-Wake Disorders,F5109,Other insomnia not due to a substance or known physiological condition
Sleep-Wake Disorders,F5111,Primary hypersomnia
Sleep-Wake Disorders,F5112,Insufficient sleep syndrome
Sleep-Wake Disorders,F5113,Hypersomnia due to other mental disorder
Sleep-Wake Disorders,F5119,Other hypersomnia not due to a substance or known physiological condition
Sleep-Wake Disorders,F513,Sleepwalking [somnambulism]
Sleep-Wake Disorders,F514,Sleep terrors [night terrors]
Sleep-Wake Disorders,F515,Nightmare disorder
Sleep-Wake Disorders,F518,Other sleep disorders not due to a substance or known physiological condition
Sleep-Wake Disorders,F519,"Sleep disorder not due to a substance or known physiological condition, unspecified"
Somatic Symptom and Related Disorders,F444,Conversion disorder with motor symptom or deficit
Somatic Symptom and Related Disorders,F445,Conversion disorder with seizures or convulsions
Somatic Symptom and Related Disorders,F446,Conversion disorder with sensory symptom or deficit
Somatic Symptom and Related Disorders,F447,Conversion disorder with mixed symptom presentation
Somatic Symptom and Related Disorders,F450,Somatization disorder
Somatic Symptom and Related Disorders,F451,Undifferentiated somatoform disorder
Somatic Symptom and Related Disorders,F4520,"Hypochondriacal disorder, unspecified"
Somatic Symptom and Related Disorders,F4521,Hypochondriasis
Somatic Symptom and Related Disorders,F4529,Other hypochondriacal disorders
Somatic Symptom and Related Disorders,F4541,Pain disorder exclusively related to psychological factors
Somatic Symptom and Related Disorders,F4542,Pain disorder with related psychological factors
Somatic Symptom and Related Disorders,F458,Other somatoform disorders
Somatic Symptom and Related Disorders,F459,"Somatoform disorder, unspecified"
Somatic Symptom and Related Disorders,F6810,"Factitious disorder, unspecified"
Somatic Symptom and Related Disorders,F6811,Factitious disorder with predominantly psychological signs and symptoms
Somatic Symptom and Related Disorders,F6812,Factitious disorder with predominantly physical signs and symptoms
Somatic Symptom and Related Disorders,F6813,Factitious disorder with combined psychological and physical signs and symptoms
Somatic Symptom and Related Disorders,F68A,Factitious disorder imposed on another
Substance-Related and Addictive Disorders,F1010,"Alcohol abuse, uncomplicated"
Substance-Related and Addictive Disorders,F10120,"Alcohol abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F10121,Alcohol abuse with intoxication delirium
Substance-Related and Addictive Disorders,F10129,"Alcohol abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1014,Alcohol abuse with alcohol-induced mood disorder
Substance-Related and Addictive Disorders,F10150,Alcohol abuse with alcohol-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F10151,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F10159,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F10180,Alcohol abuse with alcohol-induced anxiety disorder
Substance-Related and Addictive Disorders,F10181,Alcohol abuse with alcohol-induced sexual dysfunction
Substance-Related and Addictive Disorders,F10182,Alcohol abuse with alcohol-induced sleep disorder
Substance-Related and Addictive Disorders,F10188,Alcohol abuse with other alcohol-induced disorder
Substance-Related and Addictive Disorders,F1019,Alcohol abuse with unspecified alcohol-induced disorder
Substance-Related and Addictive Disorders,F1020,"Alcohol dependence, uncomplicated"
Substance-Related and Addictive Disorders,F1021,"Alcohol dependence, in remission"
Substance-Related and Addictive Disorders,F10220,"Alcohol dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F10221,Alcohol dependence with intoxication delirium
Substance-Related and Addictive Disorders,F10229,"Alcohol dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,F10230,"Alcohol dependence with withdrawal, uncomplicated"
Substance-Related and Addictive Disorders,F10231,Alcohol dependence with withdrawal delirium
Substance-Related and Addictive Disorders,F10232,Alcohol dependence with withdrawal with perceptual disturbance
Substance-Related and Addictive Disorders,F10239,"Alcohol dependence with withdrawal, unspecified"
Substance-Related and Addictive Disorders,F1024,Alcohol dependence with alcohol-induced mood disorder
Substance-Related and Addictive Disorders,F10250,Alcohol dependence with alcohol-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F10251,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F10259,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F1026,Alcohol dependence with alcohol-induced persisting amnestic disorder
Substance-Related and Addictive Disorders,F1027,Alcohol dependence with alcohol-induced persisting dementia
Substance-Related and Addictive Disorders,F10280,Alcohol dependence with alcohol-induced anxiety disorder
Substance-Related and Addictive Disorders,F10281,Alcohol dependence with alcohol-induced sexual dysfunction
Substance-Related and Addictive Disorders,F10282,Alcohol dependence with alcohol-induced sleep disorder
Substance-Related and Addictive Disorders,F10288,Alcohol dependence with other alcohol-induced disorder
Substance-Related and Addictive Disorders,F1029,Alcohol dependence with unspecified alcohol-induced disorder
Substance-Related and Addictive Disorders,F10920,"Alcohol use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F10921,"Alcohol use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,F10929,"Alcohol use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1094,"Alcohol use, unspecified with alcohol-induced mood disorder"
Substance-Related and Addictive Disorders,F10950,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,F10951,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,F10959,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F1096,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder"
Substance-Related and Addictive Disorders,F1097,"Alcohol use, unspecified with alcohol-induced persisting dementia"
Substance-Related and Addictive Disorders,F10980,"Alcohol use, unspecified with alcohol-induced anxiety disorder"
Substance-Related and Addictive Disorders,F10981,"Alcohol use, unspecified with alcohol-induced sexual dysfunction"
Substance-Related and Addictive Disorders,F10982,"Alcohol use, unspecified with alcohol-induced sleep disorder"
Substance-Related and Addictive Disorders,F10988,"Alcohol use, unspecified with other alcohol-induced disorder"
Substance-Related and Addictive Disorders,F1099,"Alcohol use, unspecified with unspecified alcohol-induced disorder"
Substance-Related and Addictive Disorders,F1110,"Opioid abuse, uncomplicated"
Substance-Related and Addictive Disorders,F11120,"Opioid abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F11121,Opioid abuse with intoxication delirium
Substance-Related and Addictive Disorders,F11122,Opioid abuse with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,F11129,"Opioid abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1114,Opioid abuse with opioid-induced mood disorder
Substance-Related and Addictive Disorders,F11150,Opioid abuse with opioid-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F11151,Opioid abuse with opioid-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F11159,"Opioid abuse with opioid-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F11181,Opioid abuse with opioid-induced sexual dysfunction
Substance-Related and Addictive Disorders,F11182,Opioid abuse with opioid-induced sleep disorder
Substance-Related and Addictive Disorders,F11188,Opioid abuse with other opioid-induced disorder
Substance-Related and Addictive Disorders,F1119,Opioid abuse with unspecified opioid-induced disorder
Substance-Related and Addictive Disorders,F1120,"Opioid dependence, uncomplicated"
Substance-Related and Addictive Disorders,F1121,"Opioid dependence, in remission"
Substance-Related and Addictive Disorders,F11220,"Opioid dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F11221,Opioid dependence with intoxication delirium
Substance-Related and Addictive Disorders,F11222,Opioid dependence with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,F11229,"Opioid dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1123,Opioid dependence with withdrawal
Substance-Related and Addictive Disorders,F1124,Opioid dependence with opioid-induced mood disorder
Substance-Related and Addictive Disorders,F11250,Opioid dependence with opioid-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,F11251,Opioid dependence with opioid-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F11259,"Opioid dependence with opioid-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F11281,Opioid dependence with opioid-induced sexual dysfunction
Substance-Related and Addictive Disorders,F11282,Opioid dependence with opioid-induced sleep disorder
Substance-Related and Addictive Disorders,F11288,Opioid dependence with other opioid-induced disorder
Substance-Related and Addictive Disorders,F1129,Opioid dependence with unspecified opioid-induced disorder
Substance-Related and Addictive Disorders,F1190,"Opioid use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,F11920,"Opioid use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F11921,"Opioid use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,F11922,"Opioid use, unspecified with intoxication with perceptual disturbance"
Substance-Related and Addictive Disorders,F11929,"Opioid use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1193,"Opioid use, unspecified with withdrawal"
Substance-Related and Addictive Disorders,F1194,"Opioid use, unspecified with opioid-induced mood disorder"
Substance-Related and Addictive Disorders,F11950,"Opioid use, unspecified with opioid-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,F11951,"Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,F11959,"Opioid use, unspecified with opioid-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F11981,"Opioid use, unspecified with opioid-induced sexual dysfunction"
Substance-Related and Addictive Disorders,F11982,"Opioid use, unspecified with opioid-induced sleep disorder"
Substance-Related and Addictive Disorders,F11988,"Opioid use, unspecified with other opioid-induced disorder"
Substance-Related and Addictive Disorders,F1199,"Opioid use, unspecified with unspecified opioid-induced disorder"
Substance-Related and Addictive Disorders,F1210,"Cannabis abuse, uncomplicated"
Substance-Related and Addictive Disorders,F12120,"Cannabis abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F12121,Cannabis abuse with intoxication delirium
Substance-Related and Addictive Disorders,F12122,Cannabis abuse with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,F12129,"Cannabis abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,F12150,Cannabis abuse with psychotic disorder with delusions
Substance-Related and Addictive Disorders,F12151,Cannabis abuse with psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F12159,"Cannabis abuse with psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F12180,Cannabis abuse with cannabis-induced anxiety disorder
Substance-Related and Addictive Disorders,F12188,Cannabis abuse with other cannabis-induced disorder
Substance-Related and Addictive Disorders,F1219,Cannabis abuse with unspecified cannabis-induced disorder
Substance-Related and Addictive Disorders,F1220,"Cannabis dependence, uncomplicated"
Substance-Related and Addictive Disorders,F1221,"Cannabis dependence, in remission"
Substance-Related and Addictive Disorders,F12220,"Cannabis dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F12221,Cannabis dependence with intoxication delirium
Substance-Related and Addictive Disorders,F12222,Cannabis dependence with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,F12229,"Cannabis dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1223,Cannabis dependence with withdrawal
Substance-Related and Addictive Disorders,F12250,Cannabis dependence with psychotic disorder with delusions
Substance-Related and Addictive Disorders,F12251,Cannabis dependence with psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,F12259,"Cannabis dependence with psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F12280,Cannabis dependence with cannabis-induced anxiety disorder
Substance-Related and Addictive Disorders,F12288,Cannabis dependence with other cannabis-induced disorder
Substance-Related and Addictive Disorders,F1229,Cannabis dependence with unspecified cannabis-induced disorder
Substance-Related and Addictive Disorders,F1290,"Cannabis use, unspecified, uncomplicated"
Substance-Related and Addictive Disorders,F12920,"Cannabis use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F12921,"Cannabis use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,F12922,"Cannabis use, unspecified with intoxication with perceptual disturbance"
Substance-Related and Addictive Disorders,F12929,"Cannabis use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1293,"Cannabis use, unspecified with withdrawal"
Substance-Related and Addictive Disorders,F12950,"Cannabis use, unspecified with psychotic disorder with delusions"
Substance-Related and Addictive Disorders,F12951,"Cannabis use, unspecified with psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,F12959,"Cannabis use, unspecified with psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,F12980,"Cannabis use, unspecified with anxiety disorder"
Substance-Related and Addictive Disorders,F12988,"Cannabis use, unspecified with other cannabis-induced disorder"
Substance-Related and Addictive Disorders,F1299,"Cannabis use, unspecified with unspecified cannabis-induced disorder"
Substance-Related and Addictive Disorders,F1310,"Sedative, hypnotic or anxiolytic abuse, uncomplicated"
Substance-Related and Addictive Disorders,F13120,"Sedative, hypnotic or anxiolytic abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,F13121,"Sedative, hypnotic or anxiolytic abuse with intoxication delirium"
Substance-Related and Addictive Disorders,F13129,"Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,F1314,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder"
Substance-Related and Addictive Disorders,F13150,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,F13151,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
