Mental_Health_Disorder_Group,ICD10_Code,Description
Bipolar and Related Disorders,ICD10:F31.62,"Bipolar disorder, current episode mixed, moderate"
Bipolar and Related Disorders,ICD10:F31.63,"Bipolar disorder, current episode mixed, severe, without psychotic features"
Bipolar and Related Disorders,ICD10:F31.64,"Bipolar disorder, current episode mixed, severe, with psychotic features"
Bipolar and Related Disorders,ICD10:F31.70,"Bipolar disorder, currently in remission, most recent episode unspecified"
Bipolar and Related Disorders,ICD10:F31.71,"Bipolar disorder, in partial remission, most recent episode hypomanic"
Bipolar and Related Disorders,ICD10:F31.72,"Bipolar disorder, in full remission, most recent episode hypomanic"
Bipolar and Related Disorders,ICD10:F31.73,"Bipolar disorder, in partial remission, most recent episode manic"
Bipolar and Related Disorders,ICD10:F31.74,"Bipolar disorder, in full remission, most recent episode manic"
Bipolar and Related Disorders,ICD10:F31.75,"Bipolar disorder, in partial remission, most recent episode depressed"
Bipolar and Related Disorders,ICD10:F31.76,"Bipolar disorder, in full remission, most recent episode depressed"
Bipolar and Related Disorders,ICD10:F31.77,"Bipolar disorder, in partial remission, most recent episode mixed"
Bipolar and Related Disorders,ICD10:F31.78,"Bipolar disorder, in full remission, most recent episode mixed"
Bipolar and Related Disorders,ICD10:F31.81,Bipolar II disorder
Bipolar and Related Disorders,ICD10:F31.89,Other bipolar disorder
Bipolar and Related Disorders,ICD10:F31.9,"Bipolar disorder, unspecified"
Bipolar and Related Disorders,ICD10:F34.0,Cyclothymic disorder
Depressive Disorders,ICD10:F32.0,"Major depressive disorder, single episode, mild"
Depressive Disorders,ICD10:F32.1,"Major depressive disorder, single episode, moderate"
Depressive Disorders,ICD10:F32.2,"Major depressive disorder, single episode, severe without psychotic features"
Depressive Disorders,ICD10:F32.3,"Major depressive disorder, single episode, severe with psychotic features"
Depressive Disorders,ICD10:F32.4,"Major depressive disorder, single episode, in partial remission"
Depressive Disorders,ICD10:F32.5,"Major depressive disorder, single episode, in full remission"
Depressive Disorders,ICD10:F32.8,Other depressive episodes
Depressive Disorders,ICD10:F32.89,Other specified depressive episodes
Depressive Disorders,ICD10:F32.9,"Major depressive disorder, single episode, unspecified"
Depressive Disorders,ICD10:F33.0,"Major depressive disorder, recurrent, mild"
Depressive Disorders,ICD10:F33.1,"Major depressive disorder, recurrent, moderate"
Depressive Disorders,ICD10:F33.2,"Major depressive disorder, recurrent severe without psychotic features"
Depressive Disorders,ICD10:F33.3,"Major depressive disorder, recurrent, severe with psychotic symptoms"
Depressive Disorders,ICD10:F33.40,"Major depressive disorder, recurrent, in remission, unspecified"
Depressive Disorders,ICD10:F33.41,"Major depressive disorder, recurrent, in partial remission"
Depressive Disorders,ICD10:F33.42,"Major depressive disorder, recurrent, in full remission"
Depressive Disorders,ICD10:F33.8,Other recurrent depressive disorders
Depressive Disorders,ICD10:F33.9,"Major depressive disorder, recurrent, unspecified"
Depressive Disorders,ICD10:F34.1,Dysthymic disorder
Depressive Disorders,ICD10:F34.8,Other persistent mood [affective] disorders
Depressive Disorders,ICD10:F34.81,Disruptive mood dysregulation disorder
Developmental Delay or Unspecified  Neurodevelopmental Disorder,ICD10:F81.89,Other developmental disorders of scholastic skills
Developmental Delay or Unspecified  Neurodevelopmental Disorder,ICD10:F81.9,"Developmental disorder of scholastic skills, unspecified"
Developmental Delay or Unspecified  Neurodevelopmental Disorder,ICD10:F88,Other disorders of psychological development
Developmental Delay or Unspecified  Neurodevelopmental Disorder,ICD10:F89,Unspecified disorder of psychological development
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F63.0,Pathological gambling
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F63.1,Pyromania
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F63.2,Kleptomania
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F63.81,Intermittent explosive disorder
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F63.89,Other impulse disorders
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F63.9,"Impulse disorder, unspecified"
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F91.0,Conduct disorder confined to family context
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F91.1,"Conduct disorder, childhood-onset type"
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F91.2,"Conduct disorder, adolescent-onset type"
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F91.3,Oppositional defiant disorder
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F91.8,Other conduct disorders
"Disruptive, Impulse Control and Conduct Disorders",ICD10:F91.9,"Conduct disorder, unspecified"
Dissociative Disorders,ICD10:F44.0,Dissociative amnesia
Dissociative Disorders,ICD10:F44.1,Dissociative fugue
Dissociative Disorders,ICD10:F44.2,Dissociative stupor
Dissociative Disorders,ICD10:F44.81,Dissociative identity disorder
Dissociative Disorders,ICD10:F48.1,Depersonalization-derealization syndrome
Mental Health Symptom,ICD10:F59,Unspecified behavioral syndromes associated with physiological disturbances and physical factors
Mental Health Symptom,ICD10:R44.0,Auditory hallucinations
Mental Health Symptom,ICD10:R44.1,Visual hallucinations
Mental Health Symptom,ICD10:R44.2,Other hallucinations
Mental Health Symptom,ICD10:R44.3,"Hallucinations, unspecified"
Mental Health Symptom,ICD10:R45.0,Nervousness
Mental Health Symptom,ICD10:R45.1,Restlessness and agitation
Mental Health Symptom,ICD10:R45.2,Unhappiness
Mental Health Symptom,ICD10:R45.3,Demoralization and apathy
Mental Health Symptom,ICD10:R45.4,Irritability and anger
Mental Health Symptom,ICD10:R45.5,Hostility
Mental Health Symptom,ICD10:R45.6,Violent behavior
Mental Health Symptom,ICD10:R45.7,"State of emotional shock and stress, unspecified"
Mental Health Symptom,ICD10:R45.81,Low self-esteem
Mental Health Symptom,ICD10:R45.82,Worries
Mental Health Symptom,ICD10:R45.83,"Excessive crying of child, adolescent or adult"
Mental Health Symptom,ICD10:R45.84,Anhedonia
Mental Health Symptom,ICD10:R45.850,Homicidal ideations
Mental Health Symptom,ICD10:R45.86,Emotional lability
Mental Health Symptom,ICD10:R45.87,Impulsiveness
Mental Health Symptom,ICD10:R45.89,Other symptoms and signs involving emotional state
Mental Health Symptom,ICD10:R46.0,Very low level of personal hygiene
Mental Health Symptom,ICD10:R46.1,Bizarre personal appearance
Mental Health Symptom,ICD10:R46.2,Strange and inexplicable behavior
Mental Health Symptom,ICD10:R46.3,Overactivity
Mental Health Symptom,ICD10:R46.4,Slowness and poor responsiveness
Mental Health Symptom,ICD10:R46.5,Suspiciousness and marked evasiveness
Mental Health Symptom,ICD10:R46.6,Undue concern and preoccupation with stressful events
Mental Health Symptom,ICD10:R46.7,Verbosity and circumstantial detail obscuring reason for contact
Mental Health Symptom,ICD10:R46.81,Obsessive-compulsive behavior
Mental Health Symptom,ICD10:Z72.810,Child and adolescent antisocial behavior
Mental Health Symptom,ICD10:Z91.83,Wandering in diseases classified elsewhere
Miscellaneous,ICD10:F07.0,Personality change due to known physiological condition
Miscellaneous,ICD10:F07.9,Unspecified personality and behavioral disorder due to known physiological condition
Miscellaneous,ICD10:F09,Unspecified mental disorder due to known physiological condition
Miscellaneous,ICD10:F28,Other psychotic disorder not due to a substance or known physiological condition
Miscellaneous,ICD10:F32.81,Premenstrual dysphoric disorder
Miscellaneous,ICD10:F34.89,Other specified persistent mood disorders
Miscellaneous,ICD10:F34.9,"Persistent mood [affective] disorder, unspecified"
Miscellaneous,ICD10:F39,Unspecified mood [affective] disorder
Miscellaneous,ICD10:F44.89,Other dissociative and conversion disorders
Miscellaneous,ICD10:F44.9,"Dissociative and conversion disorder, unspecified"
Miscellaneous,ICD10:F48.8,Other specified nonpsychotic mental disorders
Miscellaneous,ICD10:F48.9,"Nonpsychotic mental disorder, unspecified"
Miscellaneous,ICD10:F54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere
Miscellaneous,ICD10:F55.0,Abuse of antacids
Miscellaneous,ICD10:F55.1,Abuse of herbal or folk remedies
Miscellaneous,ICD10:F55.2,Abuse of laxatives
Miscellaneous,ICD10:F55.3,Abuse of steroids or hormones
Miscellaneous,ICD10:F55.4,Abuse of vitamins
Miscellaneous,ICD10:F55.8,Abuse of other non-psychoactive substances
Miscellaneous,ICD10:F68.8,Other specified disorders of adult personality and behavior
Miscellaneous,ICD10:F69,Unspecified disorder of adult personality and behavior
Miscellaneous,ICD10:F93.8,Other childhood emotional disorders
Miscellaneous,ICD10:F93.9,"Childhood emotional disorder, unspecified"
Miscellaneous,ICD10:F94.8,Other childhood disorders of social functioning
Miscellaneous,ICD10:F94.9,"Childhood disorder of social functioning, unspecified"
Miscellaneous,ICD10:F98.8,Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
Miscellaneous,ICD10:F98.9,Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
Miscellaneous,ICD10:F99,"Mental disorder, not otherwise specified"
Miscellaneous,ICD10:R41.840,Attention and concentration deficit
Miscellaneous,ICD10:R41.841,Cognitive communication deficit
Miscellaneous,ICD10:R41.842,Visuospatial deficit
Miscellaneous,ICD10:R41.843,Psychomotor deficit
Miscellaneous,ICD10:R41.844,Frontal lobe and executive function deficit
Miscellaneous,ICD10:R41.89,Other symptoms and signs involving cognitive functions and awareness
Miscellaneous,ICD10:R41.9,Unspecified symptoms and signs involving cognitive functions and awareness
Obsessive-Compulsive and Related Disorders,ICD10:F42,Obsessive-compulsive disorder
Obsessive-Compulsive and Related Disorders,ICD10:F42.2,Mixed obsessional thoughts and acts
Obsessive-Compulsive and Related Disorders,ICD10:F42.3,Hoarding disorder
Obsessive-Compulsive and Related Disorders,ICD10:F42.4,Excoriation (skin-picking) disorder
Obsessive-Compulsive and Related Disorders,ICD10:F42.8,Other obsessive-compulsive disorder
Obsessive-Compulsive and Related Disorders,ICD10:F42.9,"Obsessive-compulsive disorder, unspecified"
Obsessive-Compulsive and Related Disorders,ICD10:F45.22,Body dysmorphic disorder
Obsessive-Compulsive and Related Disorders,ICD10:F63.3,Trichotillomania
Personality Disorders,ICD10:F21,Schizotypal disorder
Personality Disorders,ICD10:F60.0,Paranoid personality disorder
Personality Disorders,ICD10:F60.1,Schizoid personality disorder
Personality Disorders,ICD10:F60.2,Antisocial personality disorder
Personality Disorders,ICD10:F60.3,Borderline personality disorder
Personality Disorders,ICD10:F60.4,Histrionic personality disorder
Personality Disorders,ICD10:F60.5,Obsessive-compulsive personality disorder
Personality Disorders,ICD10:F60.6,Avoidant personality disorder
Personality Disorders,ICD10:F60.7,Dependent personality disorder
Personality Disorders,ICD10:F60.81,Narcissistic personality disorder
Personality Disorders,ICD10:F60.89,Other specific personality disorders
Personality Disorders,ICD10:F60.9,"Personality disorder, unspecified"
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F06.0,Psychotic disorder with hallucinations due to known physiological condition
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F06.1,Catatonic disorder due to known physiological condition
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F20.0,Paranoid schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F20.1,Disorganized schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F20.2,Catatonic schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F20.3,Undifferentiated schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F20.5,Residual schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F20.81,Schizophreniform disorder
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F20.89,Other schizophrenia
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F20.9,"Schizophrenia, unspecified"
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F22,Delusional disorders
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F23,Brief psychotic disorder
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F24,Shared psychotic disorder
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F25.0,"Schizoaffective disorder, bipolar type"
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F25.1,"Schizoaffective disorder, depressive type"
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F25.8,Other schizoaffective disorders
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F25.9,"Schizoaffective disorder, unspecified"
Schizophrenia Spectrum and Other Psychotic Disorders,ICD10:F29,Unspecified psychosis not due to a substance or known physiological condition
Sleep-Wake Disorders,ICD10:F51.01,Primary insomnia
Sleep-Wake Disorders,ICD10:F51.02,Adjustment insomnia
Sleep-Wake Disorders,ICD10:F51.03,Paradoxical insomnia
Sleep-Wake Disorders,ICD10:F51.04,Psychophysiologic insomnia
Sleep-Wake Disorders,ICD10:F51.05,Insomnia due to other mental disorder
Sleep-Wake Disorders,ICD10:F51.09,Other insomnia not due to a substance or known physiological condition
Sleep-Wake Disorders,ICD10:F51.11,Primary hypersomnia
Sleep-Wake Disorders,ICD10:F51.12,Insufficient sleep syndrome
Sleep-Wake Disorders,ICD10:F51.13,Hypersomnia due to other mental disorder
Sleep-Wake Disorders,ICD10:F51.19,Other hypersomnia not due to a substance or known physiological condition
Sleep-Wake Disorders,ICD10:F51.3,Sleepwalking [somnambulism]
Sleep-Wake Disorders,ICD10:F51.4,Sleep terrors [night terrors]
Sleep-Wake Disorders,ICD10:F51.5,Nightmare disorder
Sleep-Wake Disorders,ICD10:F51.8,Other sleep disorders not due to a substance or known physiological condition
Sleep-Wake Disorders,ICD10:F51.9,"Sleep disorder not due to a substance or known physiological condition, unspecified"
Somatic Symptom and Related Disorders,ICD10:F44.4,Conversion disorder with motor symptom or deficit
Somatic Symptom and Related Disorders,ICD10:F44.5,Conversion disorder with seizures or convulsions
Somatic Symptom and Related Disorders,ICD10:F44.6,Conversion disorder with sensory symptom or deficit
Somatic Symptom and Related Disorders,ICD10:F44.7,Conversion disorder with mixed symptom presentation
Somatic Symptom and Related Disorders,ICD10:F45.0,Somatization disorder
Somatic Symptom and Related Disorders,ICD10:F45.1,Undifferentiated somatoform disorder
Somatic Symptom and Related Disorders,ICD10:F45.20,"Hypochondriacal disorder, unspecified"
Somatic Symptom and Related Disorders,ICD10:F45.21,Hypochondriasis
Somatic Symptom and Related Disorders,ICD10:F45.29,Other hypochondriacal disorders
Somatic Symptom and Related Disorders,ICD10:F45.41,Pain disorder exclusively related to psychological factors
Somatic Symptom and Related Disorders,ICD10:F45.42,Pain disorder with related psychological factors
Somatic Symptom and Related Disorders,ICD10:F45.8,Other somatoform disorders
Somatic Symptom and Related Disorders,ICD10:F45.9,"Somatoform disorder, unspecified"
Somatic Symptom and Related Disorders,ICD10:F68.10,"Factitious disorder, unspecified"
Somatic Symptom and Related Disorders,ICD10:F68.11,Factitious disorder with predominantly psychological signs and symptoms
Somatic Symptom and Related Disorders,ICD10:F68.12,Factitious disorder with predominantly physical signs and symptoms
Somatic Symptom and Related Disorders,ICD10:F68.13,Factitious disorder with combined psychological and physical signs and symptoms
Somatic Symptom and Related Disorders,ICD10:F68.A,Factitious disorder imposed on another
Substance-Related and Addictive Disorders,ICD10:F10.10,"Alcohol abuse, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F10.120,"Alcohol abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F10.121,Alcohol abuse with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F10.129,"Alcohol abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F10.14,Alcohol abuse with alcohol-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F10.150,Alcohol abuse with alcohol-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F10.151,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F10.159,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F10.180,Alcohol abuse with alcohol-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F10.181,Alcohol abuse with alcohol-induced sexual dysfunction
Substance-Related and Addictive Disorders,ICD10:F10.182,Alcohol abuse with alcohol-induced sleep disorder
Substance-Related and Addictive Disorders,ICD10:F10.188,Alcohol abuse with other alcohol-induced disorder
Substance-Related and Addictive Disorders,ICD10:F10.19,Alcohol abuse with unspecified alcohol-induced disorder
Substance-Related and Addictive Disorders,ICD10:F10.20,"Alcohol dependence, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F10.21,"Alcohol dependence, in remission"
Substance-Related and Addictive Disorders,ICD10:F10.220,"Alcohol dependence with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F10.221,Alcohol dependence with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F10.229,"Alcohol dependence with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F10.230,"Alcohol dependence with withdrawal, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F10.231,Alcohol dependence with withdrawal delirium
Substance-Related and Addictive Disorders,ICD10:F10.232,Alcohol dependence with withdrawal with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F10.239,"Alcohol dependence with withdrawal, unspecified"
Substance-Related and Addictive Disorders,ICD10:F10.24,Alcohol dependence with alcohol-induced mood disorder
Substance-Related and Addictive Disorders,ICD10:F10.250,Alcohol dependence with alcohol-induced psychotic disorder with delusions
Substance-Related and Addictive Disorders,ICD10:F10.251,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations
Substance-Related and Addictive Disorders,ICD10:F10.259,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F10.26,Alcohol dependence with alcohol-induced persisting amnestic disorder
Substance-Related and Addictive Disorders,ICD10:F10.27,Alcohol dependence with alcohol-induced persisting dementia
Substance-Related and Addictive Disorders,ICD10:F10.280,Alcohol dependence with alcohol-induced anxiety disorder
Substance-Related and Addictive Disorders,ICD10:F10.281,Alcohol dependence with alcohol-induced sexual dysfunction
Substance-Related and Addictive Disorders,ICD10:F10.282,Alcohol dependence with alcohol-induced sleep disorder
Substance-Related and Addictive Disorders,ICD10:F10.288,Alcohol dependence with other alcohol-induced disorder
Substance-Related and Addictive Disorders,ICD10:F10.29,Alcohol dependence with unspecified alcohol-induced disorder
Substance-Related and Addictive Disorders,ICD10:F10.920,"Alcohol use, unspecified with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F10.921,"Alcohol use, unspecified with intoxication delirium"
Substance-Related and Addictive Disorders,ICD10:F10.929,"Alcohol use, unspecified with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F10.94,"Alcohol use, unspecified with alcohol-induced mood disorder"
Substance-Related and Addictive Disorders,ICD10:F10.950,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions"
Substance-Related and Addictive Disorders,ICD10:F10.951,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations"
Substance-Related and Addictive Disorders,ICD10:F10.959,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified"
Substance-Related and Addictive Disorders,ICD10:F10.96,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder"
Substance-Related and Addictive Disorders,ICD10:F10.97,"Alcohol use, unspecified with alcohol-induced persisting dementia"
Substance-Related and Addictive Disorders,ICD10:F10.980,"Alcohol use, unspecified with alcohol-induced anxiety disorder"
Substance-Related and Addictive Disorders,ICD10:F10.981,"Alcohol use, unspecified with alcohol-induced sexual dysfunction"
Substance-Related and Addictive Disorders,ICD10:F10.982,"Alcohol use, unspecified with alcohol-induced sleep disorder"
Substance-Related and Addictive Disorders,ICD10:F10.988,"Alcohol use, unspecified with other alcohol-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F10.99,"Alcohol use, unspecified with unspecified alcohol-induced disorder"
Substance-Related and Addictive Disorders,ICD10:F11.10,"Opioid abuse, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F11.120,"Opioid abuse with intoxication, uncomplicated"
Substance-Related and Addictive Disorders,ICD10:F11.121,Opioid abuse with intoxication delirium
Substance-Related and Addictive Disorders,ICD10:F11.122,Opioid abuse with intoxication with perceptual disturbance
Substance-Related and Addictive Disorders,ICD10:F11.129,"Opioid abuse with intoxication, unspecified"
Substance-Related and Addictive Disorders,ICD10:F11.14,Opioid abuse with opioid-induced mood disorder
